City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Avarua,CK,2021-01-27 18:36:49,-21.2078,-159.775,84.2,70,20,17.27
67,Dimitrie Cantemir,RO,2021-01-27 18:36:49,46.5078,28.0547,29.52,96,100,25.84
68,Bredasdorp,ZA,2021-01-27 18:35:17,-34.5322,20.0403,64.4,55,98,3.44
69,Hobart,AU,2021-01-27 18:36:50,-42.8794,147.3294,54.0,58,90,6.91
70,Kabinda,CD,2021-01-27 18:36:50,-6.1333,24.4833,69.31,91,98,2.73
71,New Norfolk,AU,2021-01-27 18:36:50,-42.7826,147.0587,54.0,58,100,0.36
72,Asau,RO,2021-01-27 18:36:51,46.4333,26.4,32.0,46,100,7.02
73,Iqaluit,CA,2021-01-27 18:36:51,63.7506,-68.5145,-11.2,77,1,2.3
74,Hermanus,ZA,2021-01-27 18:33:15,-34.4187,19.2345,66.0,71,32,1.99
75,Nyazepetrovsk,RU,2021-01-27 18:36:51,56.0531,59.6028,23.2,96,100,9.26
76,Aquiraz,BR,2021-01-27 18:36:11,-3.9014,-38.3911,86.0,66,20,16.11
77,Itarema,BR,2021-01-27 18:36:52,-2.9248,-39.9167,84.96,63,39,15.9
78,Severnyy,RU,2021-01-27 18:36:52,50.677,36.5532,35.6,93,0,11.18
79,Arriaga,MX,2021-01-27 18:36:52,16.2333,-93.9,95.81,31,0,7.36
80,Lavrentiya,RU,2021-01-27 18:36:52,65.5833,-171.0,-2.31,88,100,14.29
81,Tuktoyaktuk,CA,2021-01-27 18:36:53,69.4541,-133.0374,-18.4,76,40,5.75
82,Malakal,SS,2021-01-27 18:36:53,9.5334,31.6605,85.41,21,0,6.55
83,Airai,TL,2021-01-27 18:36:53,-8.9266,125.4092,61.54,100,100,3.4
84,Carnarvon,AU,2021-01-27 18:34:24,-24.8667,113.6333,71.6,83,0,18.41
85,Nichinan,JP,2021-01-27 18:36:54,31.6,131.3667,44.01,93,0,4.0
86,Yar-Sale,RU,2021-01-27 18:35:07,66.8333,70.8333,-39.8,79,69,4.56
87,Inuvik,CA,2021-01-27 18:36:54,68.3499,-133.7218,-13.0,77,100,4.61
88,Castro,BR,2021-01-27 18:32:50,-24.7911,-50.0119,73.51,86,100,9.13
89,Grindavik,IS,2021-01-27 18:36:55,63.8424,-22.4338,32.0,55,0,24.16
90,Jardim,BR,2021-01-27 18:36:55,-21.4803,-56.1381,76.75,86,100,0.49
91,Tiksi,RU,2021-01-27 18:36:55,71.6872,128.8694,-38.99,82,98,3.2
92,Whitecourt,CA,2021-01-27 18:36:55,54.1502,-115.6855,1.4,78,90,2.19
93,Birjand,IR,2021-01-27 18:36:56,32.8663,59.2211,28.4,19,0,9.22
94,Katsuura,JP,2021-01-27 18:36:56,35.1333,140.3,45.0,65,0,10.36
95,Beroroha,MG,2021-01-27 18:36:56,-21.6667,45.1667,78.82,83,29,3.89
96,Te Anau,NZ,2021-01-27 18:36:56,-45.4167,167.7167,46.87,77,46,5.37
97,Victoria,HK,2021-01-27 18:33:10,22.2855,114.1577,64.0,85,5,9.55
98,Sayyan,YE,2021-01-27 18:36:57,15.1718,44.3244,46.29,49,0,3.89
99,Bethel,US,2021-01-27 18:36:57,41.3712,-73.414,33.01,78,98,3.0
100,Nioro,GM,2021-01-27 18:36:57,13.35,-15.75,88.86,10,0,6.33
101,Adre,TD,2021-01-27 18:36:57,13.4667,22.2,72.23,21,88,7.27
102,Mirai,BR,2021-01-27 18:36:57,-21.1953,-42.6142,84.33,57,53,2.89
103,Port Lincoln,AU,2021-01-27 18:36:58,-34.7333,135.8667,64.18,82,0,11.54
104,Luderitz,NA,2021-01-27 18:36:50,-26.6481,15.1594,68.61,58,0,31.43
105,Mehamn,NO,2021-01-27 18:36:58,71.0357,27.8492,23.0,74,75,11.5
106,Jiangyou,CN,2021-01-27 18:36:59,31.7667,104.7167,46.29,60,93,2.57
107,Iwanai,JP,2021-01-27 18:36:59,42.9744,140.5089,21.4,91,100,15.05
108,Oussouye,SN,2021-01-27 18:36:59,12.485,-16.5469,96.8,65,0,4.61
109,Xinzhi,CN,2021-01-27 18:36:59,36.4989,111.7047,29.52,57,0,12.73
